hold,entry,exit,group,sector,ticker,stock_ret,iv_put,put_premium,put_ret_on_premium,iv_call,atm_strike,c30_strike,atm_premium,c30_premium,atm_ret_on_premium,c30_ret_on_premium
3 weeks,2018-06-04,2018-06-25,G4,XLK,MSFT,-0.03226126425221232,0.16940000000000002,0.016139851685761413,0.9988575409694282,,,,,,,
3 weeks,2018-06-04,2018-06-25,G1,XLK,AMD,0.017508368251084594,,,,0.4388,1.0,1.0637560926494305,0.04376051885159841,0.01954906893475925,-0.5999049209069189,-1.0
3 weeks,2018-06-04,2018-06-25,G3,XLK,IBM,-0.029711976168757204,,,,0.1359,1.0,1.0188742996977647,0.013946388421043841,0.006283891442566979,-1.0,-1.0
3 weeks,2018-06-04,2018-06-25,G4,XLY,HD,0.026233493817243936,0.15710000000000002,0.014928874250582041,-1.0,,,,,,,
3 weeks,2018-06-04,2018-06-25,G1,XLY,GM,-0.06431359863477826,,,,0.2273,1.0,1.0316402788875518,0.0229450484808754,0.01039172224070922,-1.0,-1.0
3 weeks,2018-06-04,2018-06-25,G3,XLY,RCL,-0.010515482852624158,,,,0.23079999999999998,1.0,1.0321421584693635,0.02328963544885685,0.010547178237356382,-1.0,-1.0
3 weeks,2018-06-04,2018-06-25,G4,XLV,PFE,-0.0019201579718713946,0.1276,0.012024723024968232,-0.8403158253304979,,,,,,,
3 weeks,2018-06-04,2018-06-25,G1,XLV,MRK,-0.007545372223194069,,,,0.1837,1.0,1.0254692881899845,0.01865237824342735,0.008443830592065361,-1.0,-1.0
3 weeks,2018-06-04,2018-06-25,G4,XLI,TDG,0.0,0.2188,0.02100357549636284,-1.0,,,,,,,
3 weeks,2018-06-04,2018-06-25,G1,XLI,DE,-0.07846123168274988,,,,0.25079999999999997,1.0,1.035028723282451,0.025258660390651166,0.011432918468247682,-1.0,-1.0
3 weeks,2018-06-04,2018-06-25,G3,XLI,MMM,-0.026161125288472475,,,,0.1714,1.0,1.023755323774295,0.017441372779215442,0.007890484511696322,-1.0,-1.0
3 weeks,2018-06-04,2018-06-25,G2,XLC,CHTR,0.10280612979889114,0.2861,0.0276291404669879,-1.0,,,,,,,
3 weeks,2018-06-04,2018-06-25,G1,XLC,MTCH,-0.04156834852838032,,,,0.38789999999999997,1.0,1.0556885589861265,0.0387528519490726,0.017388476076219465,-1.0,-1.0
3 weeks,2018-06-04,2018-06-25,G3,XLC,TMUS,0.04569322477905535,,,,0.21960000000000002,1.0,1.0305395592967885,0.022186950731612386,0.010049244087091068,1.0594639313797583,0.5079408312643898
3 weeks,2018-06-04,2018-06-25,G2,XLB,NEM,-0.02941651863900363,0.2168,0.02080666551604661,0.41380264013553436,,,,,,,
3 weeks,2018-06-04,2018-06-25,G4,XLB,IP,-0.0738608966979104,0.23199999999999998,0.02230316771235912,2.3116774106030227,,,,,,,
3 weeks,2018-06-04,2018-06-25,G1,XLB,FCX,-0.08541545142413687,,,,0.3461,1.0,1.0492260785621426,0.034639458212990915,0.015593927717637651,-1.0,-1.0
3 weeks,2018-06-04,2018-06-25,G3,XLB,PPG,0.02616431870235192,,,,0.1934,1.0,1.0268292783051851,0.019607405709558764,0.008879017301815763,0.3344100229229492,-1.0
3 weeks,2018-06-04,2018-06-25,G2,XLE,HAL,-0.05296211688163999,0.264,0.025453556607802116,1.0807354232534183,,,,,,,
3 weeks,2018-06-04,2018-06-25,G4,XLE,XOM,-0.015190768037322444,0.16949999999999998,0.01614969715640164,-0.05937752948506958,,,,,,,
3 weeks,2018-06-04,2018-06-25,G1,XLE,DVN,0.046865472050986456,,,,0.371,1.0,1.0530582105751753,0.03708988265136087,0.016665142063219247,0.2635648511351365,-1.0
3 weeks,2018-06-04,2018-06-25,G2,XLP,MNST,0.09345433610789522,0.2464,0.023720870578540436,-1.0,,,,,,,
3 weeks,2018-06-04,2018-06-25,G1,XLP,KO,0.010994063699175882,,,,0.14550000000000002,1.0,1.02018464122493,0.014891465254967429,0.006719753704896794,-0.2617204881495111,-1.0
3 weeks,2018-06-04,2018-06-25,G3,XLP,GIS,0.06307772038025106,,,,0.2305,1.0,1.0320991021512733,0.02326009950084328,0.010533858718527533,1.7118422420318673,1.9408613744259595
3 weeks,2018-06-04,2018-06-25,G2,XLU,DUK,0.04922385037475974,0.152,0.014426773244366342,-1.0,,,,,,,
